,Open,High,Low,Close,Volume
2014-10-26,102.68699999999998,103.52619999999999,102.05,103.054,71706583.8
2014-11-02,106.3738,106.99600000000001,105.904,106.83399999999999,44046121.4
2014-11-09,108.806,109.44000000000001,108.04100000000001,108.91400000000002,39990562.4
2014-11-16,110.41,111.63,110.218,111.356,41033336.0
2014-11-23,115.21399999999998,116.628,114.374,115.38199999999999,46682937.0
2014-11-30,118.2825,119.255,117.4875,118.53875,45484388.0
2014-12-07,115.96399999999998,116.926,113.81199999999998,115.224,53340217.6
2014-12-14,112.28399999999999,113.89359999999999,110.686,111.96400000000001,51987584.0
2014-12-21,109.66400000000002,111.498,108.35,109.76199999999999,65771315.2
2014-12-28,112.5175,113.51249999999999,112.1125,112.87,29849132.5
2015-01-04,112.91,113.315,110.8425,111.535,38022093.5
2015-01-11,108.78600000000002,109.936,107.12899999999999,108.832,56573637.4
2015-01-18,110.02000000000001,110.71199999999999,107.61399999999999,108.41599999999998,60845329.4
2015-01-25,109.8375,111.56167500000001,109.005,110.9125,49684260.25
2015-02-01,115.701,116.83052,113.91,114.72200000000001,93168536.8
2015-02-08,119.018,119.85,117.93979999999999,119.14200000000001,54151480.8
2015-02-15,122.96600000000001,124.33400000000002,122.46199999999999,124.032,60641357.0
2015-02-22,128.05374999999998,129.0475,127.6875,128.6225,48588735.5
2015-03-01,130.661,131.928,128.766,130.567,73643272.4
2015-03-08,128.858,129.496,127.346,128.0,49387698.4
2015-03-15,125.16600000000001,126.37102,123.03599999999999,124.38600000000001,65302809.0
2015-03-22,126.756,127.81502,125.49000000000001,126.771,53334595.0
2015-03-29,125.644,126.458,124.394,124.954,41865235.0
2015-04-05,124.9975,125.8925,123.91125,125.0925,40507947.75
2015-04-12,125.952,127.16435999999999,125.04,126.524,36441482.6
2015-04-19,126.72200000000001,127.24600000000001,125.82000000000001,126.17,34237233.6
2015-04-26,127.89000000000001,129.248,127.106,128.61599999999999,41488135.8
2015-05-03,130.105,131.454,127.78,129.19,84194464.2
2015-05-10,127.13199999999999,127.89395999999999,125.506,126.478,54378396.2
2015-05-17,127.124,128.01399999999998,126.33699999999999,127.18299999999999,41660302.8
2015-05-24,130.148,131.43599999999998,129.714,130.85,43459485.2
2015-05-31,131.5075,132.14249999999998,130.04250000000002,130.93125,49537141.75
2015-06-07,130.16,130.651,129.308,129.725,34168176.8
2015-06-14,128.177,129.02800000000002,127.17699999999999,127.97200000000001,44022917.8
2015-06-21,127.15799999999999,127.81999999999998,126.48800000000001,127.25999999999999,39705051.0
2015-06-28,127.742,128.53199999999998,127.01784,127.4,39118800.8
2015-07-05,126.09,126.555,125.275,125.74875,37745468.0
2015-07-12,124.22,124.98600000000002,122.31800000000001,123.522,55143673.6
2015-07-19,126.72200000000001,127.49300000000001,126.12,127.244,37849006.8
2015-07-26,127.46599999999998,128.844,126.394,127.54,68853804.2
2015-08-02,122.90799999999999,123.24647999999999,121.91199999999999,122.56199999999998,38319702.2
2015-08-09,116.484,118.09200000000001,114.297,115.826,76814499.4
2015-08-16,115.446,117.25999999999999,113.60799999999999,115.91199999999999,69037065.2
2015-08-23,114.61600000000001,115.572,112.69300000000001,113.41600000000001,64101811.2
2015-08-30,107.497,111.27000000000001,104.422,108.55199999999999,100072593.0
2015-09-06,110.75399999999999,112.396,109.40820000000001,110.492,59638838.8
2015-09-13,111.8675,113.518125,110.4375,112.31,63165683.5
2015-09-20,115.326,116.15,114.061,115.074,55455201.4
2015-09-27,114.074,115.292,113.17402,114.52799999999999,48539248.2
2015-10-04,110.78599999999999,112.05072,108.77799999999999,110.282,62227605.4
2015-10-11,110.48799999999999,111.46995999999999,109.189,110.898,52486597.4
2015-10-18,111.50999999999999,112.16399999999999,110.54,111.3,36976994.0
2015-10-25,113.434,115.2456,113.01199999999999,114.768,44414978.6
2015-11-01,118.02000000000001,119.176,116.53800000000001,117.826,64472424.2
2015-11-08,121.35,122.63399999999999,120.546,121.546,39040651.2
2015-11-15,117.138,117.93799999999999,115.84819999999999,116.30199999999999,43311057.8
2015-11-22,115.78,117.29,115.08599999999998,116.647,37989483.0
2015-11-29,118.525,119.18,117.495,118.1175,27430113.25
2015-12-06,117.126,118.474,116.00399999999999,117.22999999999999,41353149.0
2015-12-13,117.074,117.696,115.62219999999999,116.296,37770788.8
2015-12-20,111.224,111.848,108.74600000000001,109.864,63158267.0
2015-12-27,107.7375,108.235,106.79275,107.8,31658502.75
2016-01-03,107.535,108.2125,106.260175,107.035,30940386.5
2016-01-10,101.22999999999999,102.56559999999999,99.494,100.434,68758042.2
2016-01-17,98.8,99.826,96.91598,98.506,60867450.6
2016-01-24,97.3,99.044925,95.5575,97.7925,60846023.25
2016-01-31,97.21400000000001,98.17978000000001,95.47200000000001,96.856,76067306.0
2016-02-07,95.854,96.768,94.52799999999999,95.576,43430953.2
2016-02-14,94.264,95.442,93.334,94.392,46224452.6
2016-02-21,96.6325,97.677475,95.66275,96.765,42079078.75
2016-02-28,95.988,96.91274000000001,95.124,96.268,31810585.2
2016-03-06,99.59400000000001,101.06998,99.10600000000001,100.49600000000001,40360765.2
2016-03-13,101.626,102.138,100.65599999999999,101.49000000000001,31044300.2
2016-03-20,104.468,105.474,104.074,104.958,36414633.0
2016-03-27,105.7825,107.065,105.285025,106.1075,29945875.75
2016-04-03,107.60799999999999,108.85999999999999,107.124,108.282,29593000.6
2016-04-10,109.804,110.81800000000001,109.03620000000001,109.81800000000001,29144508.6
2016-04-17,110.56800000000001,111.628,109.87,110.69000000000001,32462010.2
2016-04-24,107.07000000000001,107.69000000000001,105.874,106.63399999999999,37810603.2
2016-05-01,99.30199999999999,100.452,98.172,99.164,69884812.6
2016-05-08,94.147,94.648,92.886,93.79400000000001,45121448.4
2016-05-15,92.506,93.072,91.326,91.91600000000001,43209967.2
2016-05-22,94.076,94.874,93.328,94.27000000000001,42541430.8
2016-05-29,98.176,99.244,97.701,98.94200000000001,40894664.8
2016-06-05,98.5025,99.0125,97.8075,98.49,35044246.25
2016-06-12,98.65799999999999,100.13114,98.426,99.01599999999999,24972875.0
2016-06-19,97.38,98.08099999999999,96.45,96.964,38346539.8
2016-06-26,95.208,96.151,94.5912,95.212,41345784.8
2016-07-03,93.96000000000001,94.699,93.38,94.304,37092200.8
2016-07-10,95.545,96.1125,95.125,95.785,28176490.25
2016-07-17,97.52799999999999,98.262,97.30199999999999,97.768,28582113.2
2016-07-24,99.47,100.178,99.023,99.55,29513091.2
2016-07-31,101.271,102.032,100.518,101.102,51314218.0
2016-08-07,105.424,106.34200000000001,104.928,105.93400000000001,34029824.0
2016-08-14,108.152,108.71600000000001,107.71199999999999,108.258,24901173.8
2016-08-21,108.974,109.686,108.602,109.304,26474281.6
2016-08-28,108.16300000000001,108.6,107.41,107.97999999999999,24721103.8
2016-09-04,106.38399999999999,107.06197999999999,105.974,106.676,26600124.8
2016-09-11,106.905,107.5125,105.7375,106.1775,42200932.25
2016-09-18,109.574,111.88,109.17999999999999,111.13,78061873.2
2016-09-25,114.172,114.8038,112.75019999999999,113.606,40219127.0
2016-10-02,112.79,113.676,112.184,113.03,31276807.0
2016-10-09,113.436,113.984,112.848,113.304,25205888.0
2016-10-16,116.94800000000001,117.806,116.104,116.85999999999999,41741676.6
2016-10-23,117.28600000000002,117.62,116.128,117.16,23106286.8
2016-10-30,115.724,116.574,115.03399999999999,115.93800000000002,42045113.8
2016-11-06,111.604,112.41199999999999,110.524,111.05799999999999,31269303.6
2016-11-13,109.65599999999999,110.702,107.918,109.71400000000001,41453795.8
2016-11-20,108.024,109.32180000000001,107.06586,108.564,39668291.2
2016-11-27,111.14,111.9475,110.6725,111.6375,23533105.25
2016-12-04,110.66100000000002,111.545,109.922,110.588,31099970.0
2016-12-11,110.38600000000001,111.742,109.902,111.232,30397932.8
2016-12-18,114.804,116.07000000000001,114.41900000000001,115.09400000000001,39003140.0
2016-12-25,116.256,117.06199999999998,116.08800000000001,116.69200000000001,22664578.2
2017-01-01,116.785,117.531525,116.13,116.6425,21207132.75
2017-01-08,116.0875,116.96605,115.6975,116.6725,25961367.0
2017-01-15,118.69300000000001,119.532,118.372,119.228,27762152.0
2017-01-22,119.5475,120.32,119.25865,119.9425,29086996.75
